Silkbase_id,NCBI_id,TF,KEGG_id,Silkbase_description,GO_description,KEGG_description
KWMTBOMO00021,LOC732936,_,732936,PREDICTED:_haloacid_dehalogenase_isoform_X1_[Bombyx_mori],GO:0016787|hydrolase activity|molecular function,NA
KWMTBOMO00022,LOC101742469,_,101742469,PREDICTED:_ephrin_type-B_receptor_1-B_[Plutella_xylostella],GO:0004672|protein kinase activity|molecular function;GO:0004713|protein tyrosine kinase activity|molecular function;GO:0005003|ephrin receptor activity|molecular function;GO:0005515|protein binding|molecular function;GO:0005524|ATP binding|molecular function;GO:0005887|integral component of plasma membrane|cellular component;GO:0006468|protein phosphorylation|biological process;GO:0007169|transmembrane receptor protein tyrosine kinase signaling pathway|biological process;GO:0016021|integral component of membrane|cellular component,ephrin type-B receptor 1-BsK05110 EPHB1; Eph receptor B1 [EC:2.7.10.1]
KWMTBOMO00023,LOC101740028,_,101740028,PREDICTED:_UDP-sugar_transporter_UST74c_[Amyelois_transitella],-,"UDP-sugar transporter UST74csK15281 SLC35D1_2_3; solute carrier family 35, member D1/2/3"
KWMTBOMO00024,LOC101740159,ZBTB,101740159,"PREDICTED:_protein_tramtrack,_beta_isoform-like_isoform_X3_[Bombyx_mori]",GO:0003676|nucleic acid binding|molecular function;GO:0005515|protein binding|molecular function,NA
KWMTBOMO00025,LOC101742610,_,101742610,"PREDICTED:_cytochrome_b-c1_complex_subunit_1,_mitochondrial-like_[Amyelois_transitella]",GO:0003824|catalytic activity|molecular function;GO:0046872|metal ion binding|molecular function,cytochrome b-c1 complex subunit 1sK17732 PMPCB; mitochondrial-processing peptidase subunit beta [EC:3.4.24.64]
KWMTBOMO00026,LOC101742756,_,101742756,Mitochondrial_processing_peptidase_beta_subunit_[Operophtera_brumata],GO:0003824|catalytic activity|molecular function;GO:0046872|metal ion binding|molecular function,NA
KWMTBOMO00027,LOC101740430,_,101740430,PREDICTED:_dipeptidase_1-like_[Bombyx_mori],GO:0006508|proteolysis|biological process;GO:0008235|metalloexopeptidase activity|molecular function;GO:0008239|dipeptidyl-peptidase activity|molecular function;GO:0016805|dipeptidase activity|molecular function,dipeptidase 1sK01273 DPEP; membrane dipeptidase [EC:3.4.13.19]
KWMTBOMO00028,LOC101743052,_,101743052,actin_[Operophtera_brumata],-,NA
KWMTBOMO00029,LOC101742910,_,101742910,beta-actin_[Operophtera_brumata],-,NA
KWMTBOMO00030,NA,_,101740430,PREDICTED:_dipeptidase_1-like_[Bombyx_mori],GO:0006508|proteolysis|biological process;GO:0016805|dipeptidase activity|molecular function,dipeptidase 1sK01273 DPEP; membrane dipeptidase [EC:3.4.13.19]
KWMTBOMO00031,LOC101740565,zf-C2H2,101740565,hypothetical_protein_KGM_08807_[Danaus_plexippus],GO:0003676|nucleic acid binding|molecular function,Krueppel-like factor luna isoform X1sK09207 KLF6_7; krueppel-like factor 6/7
KWMTBOMO00032,NA,_,100127037,reverse_transcriptase_[Bombyx_mori],-,NA
KWMTBOMO00033,LOC101743283,_,101743283,CYP303A1_[Helicoverpa_armigera],"GO:0005506|iron ion binding|molecular function;GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen|molecular function;GO:0020037|heme binding|molecular function;GO:0055114|oxidation-reduction process|biological process",NA
KWMTBOMO00034,NA,_,101744263,putative_transposase_yabusame-1_[Bombyx_mori],-,NA
KWMTBOMO00035,LOC101739644,_,101737183,reverse_transcriptase_[Danaus_plexippus],-,NA
KWMTBOMO00036,LOC101740839,_,101740839,"PREDICTED:_alpha-1,3-mannosyl-glycoprotein_4-beta-N-acetylglucosaminyltransferase_B-like_[Bombyx_mori]",-,"alpha-1sK00738 MGAT4A_B; alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase A/B [EC:2.4.1.145]"
KWMTBOMO00037,LOC101743424,_,101743424,PREDICTED:_antigen_LPMC-61_[Bombyx_mori],-,NA
KWMTBOMO00038,NA,_,105842439,PREDICTED:_RNA-directed_DNA_polymerase_from_mobile_element_jockey-like_[Plutella_xylostella],-,NA
KWMTBOMO00039,LOC101743564,_,101743564,macrophage_migration_inhibitory_factor-like_protein_[Antheraea_yamamai],-,MIF-like protein mif-2sK07253 MIF; phenylpyruvate tautomerase [EC:5.3.2.1]
KWMTBOMO00040,LOC101741126,_,101741126,"PREDICTED:_probable_3',5'-cyclic_phosphodiesterase_pde-5_isoform_X3_[Amyelois_transitella]","GO:0004114|3',5'-cyclic-nucleotide phosphodiesterase activity|molecular function;GO:0005515|protein binding|molecular function;GO:0007165|signal transduction|biological process;GO:0008081|phosphoric diester hydrolase activity|molecular function","probable 3'sK18438 PDE10; cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10 [EC:3.1.4.17 3.1.4.35]"
KWMTBOMO00041,NA,_,101741126,"PREDICTED:_probable_3',5'-cyclic_phosphodiesterase_pde-5_isoform_X1_[Amyelois_transitella]",-,"probable 3'sK18438 PDE10; cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10 [EC:3.1.4.17 3.1.4.35]"
KWMTBOMO00042,LOC101743705,_,101743705,PREDICTED:_mitochondrial_thiamine_pyrophosphate_carrier-like_[Amyelois_transitella],-,"mitochondrial thiamine pyrophosphate carriersK15108 SLC25A19; solute carrier family 25 (mitochondrial thiamine pyrophosphate transporter), member 19"
KWMTBOMO00043,NA,_,101744004,PREDICTED:_uncharacterized_protein_DDB_G0272718_[Bombyx_mori],-,NA
KWMTBOMO00044,LOC101743858,_,101743858,PREDICTED:_cAMP-dependent_protein_kinase_regulatory_subunit-like_[Bombyx_mori],-,NA
KWMTBOMO00045,LOC101744149,_,101744149,hypothetical_protein_KGM_08765_[Danaus_plexippus],-,NA
KWMTBOMO00046,NA,_,NA,AAEL005572-PA_[Aedes_aegypti],"GO:0003677|DNA binding|molecular function;GO:0004803|transposase activity|molecular function;GO:0006313|transposition, DNA-mediated|biological process",NA
KWMTBOMO00047,LOC101744289,_,101744289,gamma-soluble_nsf_attachment_protein_[Danaus_plexippus],GO:0005515|protein binding|molecular function;GO:0006886|intracellular protein transport|biological process,gamma-soluble NSF attachment proteinsK21198 NAPG; gamma-soluble NSF attachment protein
KWMTBOMO00048,NA,_,101740752,AF461149_1_transposase_[Bombyx_mori],GO:0003677|DNA binding|molecular function,NA
KWMTBOMO00049,NA,_,NA,Uncharacterised_protein_[Mycobacterium_tuberculosis],-,NA
KWMTBOMO00050,LOC101741268,zf-C2H2,101741268,PREDICTED:_zinc_finger_protein_135_[Bombyx_mori],GO:0003676|nucleic acid binding|molecular function,NA
KWMTBOMO00051,LOC101744433,zf-C2H2,101744433,putative_CTCF-like_protein_[Danaus_plexippus],GO:0003676|nucleic acid binding|molecular function,transcriptional repressor CTCFsK23195 CTCF; transcriptional repressor CTCF
KWMTBOMO00052,LOC101744817,_,101744817,PREDICTED:_solute_carrier_family_35_member_C2_[Bombyx_mori],-,"solute carrier family 35 member C2sK15280 SLC35C2; solute carrier family 35, member C2"
KWMTBOMO00053,L130,_,100270783,PREDICTED:_protein_KBP_homolog_[Amyelois_transitella],-,NA
KWMTBOMO00054,NA,_,NA,putative_myosin_light_chain_kinase_[Danaus_plexippus],GO:0004672|protein kinase activity|molecular function;GO:0005524|ATP binding|molecular function;GO:0006468|protein phosphorylation|biological process,NA
KWMTBOMO00055,LOC101741548,_,105841266,PREDICTED:_uncharacterized_protein_LOC105841266_[Bombyx_mori],GO:0005515|protein binding|molecular function,NA
KWMTBOMO00056,LOC101741691,_,101741691,PREDICTED:_mitogen-activated_protein_kinase_kinase_kinase_12-like_[Bombyx_mori],GO:0004672|protein kinase activity|molecular function;GO:0005524|ATP binding|molecular function;GO:0006468|protein phosphorylation|biological process,mitogen-activated protein kinase kinase kinase 12sK04422 MAP3K13; mitogen-activated protein kinase kinase kinase 13 [EC:2.7.11.25]
KWMTBOMO00057,LOC101736132,_,101736132,PREDICTED:_ADP-ribosylation_factor_GTPase-activating_protein_1-like_[Bombyx_mori],GO:0005096|GTPase activator activity|molecular function,NA
KWMTBOMO00058,NA,_,105841788,reverse_transcriptase_[Bombyx_mori],-,NA
KWMTBOMO00059,Bmptp-Z,_,100579140,PREDICTED:_protein_tyrosine_phosphatase_isoform_X2_[Bombyx_mori],GO:0004725|protein tyrosine phosphatase activity|molecular function;GO:0006470|protein dephosphorylation|biological process;GO:0016311|dephosphorylation|biological process;GO:0016791|phosphatase activity|molecular function,Bmptp-Z; protein tyrosine phosphatasesK05696 PTPN1; tyrosine-protein phosphatase non-receptor type 1 [EC:3.1.3.48]
KWMTBOMO00060,LOC105842517,_,105842517,PREDICTED:_LOW_QUALITY_PROTEIN:_peroxisomal_membrane_protein_PEX16_[Bombyx_mori],-,peroxisomal membrane protein PEX16sK13335 PEX16; peroxin-16
KWMTBOMO00061,LOC101741988,ARID,105841232,PREDICTED:_protein_Jumonji_isoform_X1_[Bombyx_mori],GO:0003677|DNA binding|molecular function,uncharacterized protein LOC105841232 isoform X2sK11478 JARID2; protein Jumonji
KWMTBOMO00062,NA,_,101744763,PREDICTED:_zinc_finger_CCHC_domain-containing_protein_13-like_[Bombyx_mori],GO:0003676|nucleic acid binding|molecular function;GO:0008270|zinc ion binding|molecular function,NA
KWMTBOMO00063,NA,_,101737485,PREDICTED:_protein_jim_lovell-like_isoform_X2_[Papilio_machaon],-,NA
KWMTBOMO00064,LOC101745111,ZBTB,101745111,PREDICTED:_uncharacterized_protein_LOC101745111_isoform_X1_[Bombyx_mori],GO:0003677|DNA binding|molecular function;GO:0005515|protein binding|molecular function,NA
KWMTBOMO00065,LOC101745262,_,101745262,PREDICTED:_quinone_oxidoreductase_isoform_X1_[Bombyx_mori],GO:0016491|oxidoreductase activity|molecular function,NA
KWMTBOMO00066,LOC110386353,_,NA,hypothetical_protein_KGM_18594_[Danaus_plexippus],-,NA
KWMTBOMO00067,LOC101745405,_,101745405,PREDICTED:_plexin_domain-containing_protein_2_isoform_X1_[Bombyx_mori],-,NA
KWMTBOMO00068,BLOS2,_,100328579,biogenesis_of_lysosome-related_organelles_complex_1_subunit_2_[Bombyx_mori],-,BLOS2; biogenesis of lysosome-related organelles complex 1 subunit 2sK16750 BLOC1S2; biogenesis of lysosome-related organelles complex 1 subunit 2
KWMTBOMO00069,LOC101742128,_,101742128,PREDICTED:_glucose_transporter_type_1-like_[Bombyx_mori],GO:0016020|membrane|cellular component;GO:0016021|integral component of membrane|cellular component;GO:0022857|transmembrane transporter activity|molecular function;GO:0055085|transmembrane transport|biological process,"glucose transporter type 1 isoform X2sK07299 SLC2A1; MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 1"
KWMTBOMO00070,LOC101742648,_,100141455,reverse_transcriptase_[Bombyx_mori],-,NA
KWMTBOMO00071,NA,_,101740752,AF461149_1_transposase_[Bombyx_mori],GO:0003677|DNA binding|molecular function,NA
KWMTBOMO00072,NA,_,105841892,reverse_transcriptase_[Bombyx_mori],-,NA
KWMTBOMO00073,LOC105842242,_,101745431,PREDICTED:_uncharacterized_protein_LOC105391048_[Plutella_xylostella],GO:0003676|nucleic acid binding|molecular function;GO:0015074|DNA integration|biological process,iron-sulfur cluster co-chaperone protein HscB isoform X1sK04082 hscB; molecular chaperone HscB
KWMTBOMO00074,NA,_,101740536,endonuclease_and_reverse_transcriptase-like_protein_[Bombyx_mori],-,NA
KWMTBOMO00075,NA,_,105842121,reverse_transcriptase_[Bombyx_mori],-,NA
KWMTBOMO00076,LOC101745545,_,101745545,PREDICTED:_tubulin_alpha-1_chain-like_[Papilio_polytes],GO:0003924|GTPase activity|molecular function;GO:0005525|GTP binding|molecular function;GO:0005874|microtubule|cellular component;GO:0007017|microtubule-based process|biological process,tubulin alpha-1 chainsK07374 TUBA; tubulin alpha
KWMTBOMO00077,LOC101742420,_,NA,hypothetical_protein_KGM_08772_[Danaus_plexippus],-,NA
KWMTBOMO00078,NA,_,101742420,PREDICTED:_uncharacterized_protein_LOC101742420_[Bombyx_mori],-,NA
KWMTBOMO00079,LOC101745928,_,101745928,PREDICTED:_protein_RCC2_homolog_[Amyelois_transitella],-,NA
KWMTBOMO00080,LOC101742566,_,101742566,PREDICTED:_protein-methionine_sulfoxide_oxidase_Mical_isoform_X2_[Papilio_machaon],-,F-actin-monooxygenase Mical isoform X1sK19947 MICAL; F-actin monooxygenase [EC:1.14.13.225]
KWMTBOMO00081,LOC101746314,_,101746314,PREDICTED:_CUB_and_sushi_domain-containing_protein_3_isoform_X2_[Bombyx_mori],-,NA
KWMTBOMO00082,LOC101735720,_,105842396,PREDICTED:_uncharacterized_protein_LOC105842396_[Bombyx_mori],-,NA
KWMTBOMO00083,NA,_,101746314,PREDICTED:_CUB_and_sushi_domain-containing_protein_3_isoform_X3_[Bombyx_mori],-,NA
KWMTBOMO00084,NA,_,101746452,PREDICTED:_SET_and_MYND_domain-containing_protein_4-like_[Plutella_xylostella],GO:0005515|protein binding|molecular function,SET and MYND domain-containing protein 4 isoform X1sK24634 SMYD4; SET and MYND domain-containing protein 4 [EC:2.1.1.-]
KWMTBOMO00085,LOC101746452,_,101746452,PREDICTED:_SET_and_MYND_domain-containing_protein_4_[Papilio_polytes],GO:0005515|protein binding|molecular function,SET and MYND domain-containing protein 4 isoform X1sK24634 SMYD4; SET and MYND domain-containing protein 4 [EC:2.1.1.-]
KWMTBOMO00086,LOC101746594,_,101746594,"PREDICTED:_pyruvate_dehydrogenase_phosphatase_regulatory_subunit,_mitochondrial_isoform_X1_[Papilio_machaon]",GO:0005515|protein binding|molecular function;GO:0016491|oxidoreductase activity|molecular function;GO:0055114|oxidation-reduction process|biological process,pyruvate dehydrogenase phosphatase regulatory subunitsK17509 PDPR; pyruvate dehydrogenase phosphatase regulatory subunit
KWMTBOMO00087,NA,_,101746820,hypothetical_protein_KGM_18604_[Danaus_plexippus],-,enkurinsK25647 ENKUR; enkurin
KWMTBOMO00088,LOC101746820,_,101746820,PREDICTED:_enkurin_[Papilio_xuthus],-,enkurinsK25647 ENKUR; enkurin
KWMTBOMO00089,LOC101742707,SAND,101742707,PREDICTED:_deformed_epidermal_autoregulatory_factor_1_isoform_X1_[Bombyx_mori],GO:0003677|DNA binding|molecular function,deformed epidermal autoregulatory factor 1 isoform X3sK23041 DEAF1; deformed epidermal autoregulatory factor 1
KWMTBOMO00090,LOC101742856,_,101742856,PREDICTED:_uncharacterized_protein_LOC101742856_isoform_X2_[Bombyx_mori],GO:0005515|protein binding|molecular function,NA
KWMTBOMO00091,LOC101742998,_,101742998,PREDICTED:_laminin_subunit_alpha_[Bombyx_mori],GO:0007155|cell adhesion|biological process,"laminin subunit alphasK06240 LAMA3_5; laminin, alpha 3/5"
KWMTBOMO00092,LOC101739801,_,101739801,PREDICTED:_LOW_QUALITY_PROTEIN:_uncharacterized_protein_LOC101739801_[Bombyx_mori],GO:0005887|integral component of plasma membrane|cellular component;GO:0016021|integral component of membrane|cellular component,uncharacterized protein LOC101739801 isoform X1sK21988 TMC; transmembrane channel-like protein
KWMTBOMO00093,NA,_,105842500,PREDICTED:_uncharacterized_protein_LOC105842500_[Bombyx_mori],-,NA
KWMTBOMO00094,LOC101746961,_,101746961,putative_laminin_A_chain_[Danaus_plexippus],GO:0003676|nucleic acid binding|molecular function;GO:0015074|DNA integration|biological process,"laminin subunit gamma-1sK05635 LAMC1; laminin, gamma 1"
KWMTBOMO00095,NA,_,NA,Zinc_finger_DNA_binding_protein_[Operophtera_brumata],-,NA
KWMTBOMO00096,LOC100750224,Pou,100750224,"abnormal_chemosensory_jump_6,_splice_form_A,_partial_[Bombyx_mori]","GO:0003677|DNA binding|molecular function;GO:0003700|DNA-binding transcription factor activity|molecular function;GO:0006355|regulation of transcription, DNA-templated|biological process;GO:0043565|sequence-specific DNA binding|molecular function","inhibitory POU protein isoform X1sK09366 POU4F; POU domain transcription factor, class 4"
KWMTBOMO00097,LOC101735670,_,101735670,PREDICTED:_uncharacterized_protein_CG1161_[Papilio_polytes],GO:0016021|integral component of membrane|cellular component,uncharacterized protein CG1161 isoform X1sK26238 TMEM9; proton-transporting V-type ATPase complex assembly regulator
KWMTBOMO00098,LOC101735897,_,101735897,conserved_hypothetical_protein_[Ixodes_scapularis],GO:0016021|integral component of membrane|cellular component,NA
KWMTBOMO00099,LOC101736024,_,101736024,PREDICTED:_roquin-1_isoform_X4_[Bombyx_mori],GO:0046872|metal ion binding|molecular function,roquin-1 isoform X1sK15690 RC3H; RING finger and CCCH-type zinc finger domain-containing protein
KWMTBOMO00100,LOC101743284,_,101743284,hypothetical_protein_KGM_18647_[Danaus_plexippus],-,NA
KWMTBOMO00101,NA,_,101741951,blastopia_polyprotein_[Lasius_niger],GO:0003676|nucleic acid binding|molecular function;GO:0004190|aspartic-type endopeptidase activity|molecular function;GO:0006508|proteolysis|biological process;GO:0008270|zinc ion binding|molecular function;GO:0015074|DNA integration|biological process,"synaptic vesicular amine transportersK08155 SLC18A1_2; MFS transporter, DHA1 family, solute carrier family 18 (vesicular amine transporter), member 1/2"
KWMTBOMO00102,LOC101743425,_,101743425,PREDICTED:_calpain-C_[Bombyx_mori],GO:0004198|calcium-dependent cysteine-type endopeptidase activity|molecular function;GO:0005509|calcium ion binding|molecular function;GO:0006508|proteolysis|biological process,calpain-CsK08578 CAPN9; calpain-9 [EC:3.4.22.-]
KWMTBOMO00103,LOC101736161,_,101736161,"PREDICTED:_succinate_dehydrogenase_assembly_factor_3,_mitochondrial_[Plutella_xylostella]",GO:0005739|mitochondrion|cellular component;GO:0034553|mitochondrial respiratory chain complex II assembly|biological process,NA
KWMTBOMO00104,LOC101736377,_,101736377,PREDICTED:_serine/threonine-protein_kinase_prp4_isoform_X1_[Papilio_machaon],GO:0004672|protein kinase activity|molecular function;GO:0005524|ATP binding|molecular function;GO:0006468|protein phosphorylation|biological process,serine/threonine-protein kinase PRP4 homologsK08827 PRPF4B; serine/threonine-protein kinase PRP4 [EC:2.7.11.1]
KWMTBOMO00105,LOC101736593,_,101736593,PREDICTED:_uncharacterized_protein_LOC105392398_[Plutella_xylostella],-,NA
KWMTBOMO00106,LOC101736825,_,101736825,PREDICTED:_importin-7_isoform_X1_[Bombyx_mori],-,importin-7 isoform X2sK20223 IPO7; importin-7
KWMTBOMO00107,NA,_,NA,"PREDICTED:_uncharacterized_protein_LOC105700222,_partial_[Orussus_abietinus]",GO:0003676|nucleic acid binding|molecular function;GO:0015074|DNA integration|biological process,NA
KWMTBOMO00108,NA,_,101736825,PREDICTED:_importin-7_isoform_X1_[Bombyx_mori],GO:0006886|intracellular protein transport|biological process;GO:0008536|Ran GTPase binding|molecular function,importin-7 isoform X2sK20223 IPO7; importin-7
KWMTBOMO00109,LOC101743706,_,101743706,"PREDICTED:_type_I_inositol_3,4-bisphosphate_4-phosphatase-like_[Bombyx_mori]","GO:0016316|phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity|molecular function",NA
KWMTBOMO00110,LOC101737036,_,101737036,PREDICTED:_probable_NADH_dehydrogenase_[ubiquinone]_1_alpha_subcomplex_subunit_12_isoform_X2_[Bombyx_mori],GO:0008137|NADH dehydrogenase (ubiquinone) activity|molecular function;GO:0009055|electron transfer activity|molecular function;GO:0016020|membrane|cellular component,probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12sK11352 NDUFA12; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12
KWMTBOMO00111,Bmap-A,Homeobox,100579139,Bmptp-Z_and_Bmap-A_fusion_protein_alpha_[Bombyx_mori],"GO:0003677|DNA binding|molecular function;GO:0006355|regulation of transcription, DNA-templated|biological process;GO:0043565|sequence-specific DNA binding|molecular function",NA
KWMTBOMO00112,ap,Homeobox,692399,apterous_[Bombyx_mori],"GO:0003677|DNA binding|molecular function;GO:0006355|regulation of transcription, DNA-templated|biological process;GO:0043565|sequence-specific DNA binding|molecular function",ap; apteroussK09373 LHX2_9; LIM homeobox protein 2/9
KWMTBOMO00113,LOC105842502,_,105842502,PREDICTED:_solute_carrier_family_22_member_13-like_[Papilio_xuthus],GO:0016021|integral component of membrane|cellular component;GO:0022857|transmembrane transporter activity|molecular function;GO:0055085|transmembrane transport|biological process,NA
KWMTBOMO00114,NA,_,105841784,endonuclease-reverse_transcriptase_[Bombyx_mori],-,NA
KWMTBOMO00115,NA,_,101744290,transient_receptor_potential_cation_channel_subfamily_A_member_1_[Bombyx_mori],GO:0005515|protein binding|molecular function,transient receptor potential cation channel subfamily A member 1sK04984 TRPA1; transient receptor potential cation channel subfamily A member 1
KWMTBOMO00116,NA,_,105842121,reverse_transcriptase_[Bombyx_mori],-,NA
KWMTBOMO00117,NA,_,105841788,gag-like_protein_[Bombyx_mori],-,NA
KWMTBOMO00118,LOC101744290,_,101744290,transient_receptor_potential_cation_channel_subfamily_A_member_1_[Bombyx_mori],GO:0005216|ion channel activity|molecular function;GO:0005515|protein binding|molecular function;GO:0006811|ion transport|biological process;GO:0016020|membrane|cellular component;GO:0055085|transmembrane transport|biological process,transient receptor potential cation channel subfamily A member 1sK04984 TRPA1; transient receptor potential cation channel subfamily A member 1
KWMTBOMO00119,LOC101744434,_,101744434,PREDICTED:_uncharacterized_protein_LOC101744434_[Bombyx_mori],-,NA
KWMTBOMO00120,LOC101744584,_,101744584,Band_7_protein_AAEL010189_[Papilio_xuthus],-,band 7 protein AGAP004871 isoform X1sK17286 STOM; erythrocyte band 7 integral membrane protein
KWMTBOMO00121,LOC101737320,_,101737320,hypothetical_protein_KGM_18576_[Danaus_plexippus],-,NA
KWMTBOMO00122,LOC101737462,_,101737462,PREDICTED:_LETM1_domain-containing_protein_1_isoform_X1_[Papilio_polytes],GO:0043022|ribosome binding|molecular function,NA
KWMTBOMO00123,LOC101737605,_,101737605,Uncharacterized_protein_OBRU01_18498_[Operophtera_brumata],-,NA
KWMTBOMO00124,LOC101744726,_,101744726,PREDICTED:_PQ-loop_repeat-containing_protein_3_[Bombyx_mori],-,"solute carrier family 66 member 3sK23680 PQLC3; solute carrier family 66, member 3"
KWMTBOMO00125,NA,_,100127037,reverse_transcriptase_[Bombyx_mori],-,NA
KWMTBOMO00126,Mtnr,_,100174942,melatonin_receptor-like_[Bombyx_mori],GO:0004930|G protein-coupled receptor activity|molecular function;GO:0007186|G protein-coupled receptor signaling pathway|biological process;GO:0016021|integral component of membrane|cellular component,Mtnr; melatonin receptor-likesK04285 MTNR1A; melatonin receptor type 1A
KWMTBOMO00127,LOC101737840,_,101737840,PREDICTED:_CUB_and_sushi_domain-containing_protein_2_[Amyelois_transitella],-,NA
KWMTBOMO00128,NA,_,101737973,hypothetical_protein_KGM_18572_[Danaus_plexippus],GO:0019901|protein kinase binding|molecular function,NA
KWMTBOMO00129,LOC101737973,_,101737973,PREDICTED:_protein_phosphatase_1_regulatory_subunit_12C_isoform_X6_[Bombyx_mori],GO:0005515|protein binding|molecular function,NA
KWMTBOMO00130,NA,_,101744871,PREDICTED:_disco-interacting_protein_2_isoform_X5_[Papilio_xuthus],GO:0003824|catalytic activity|molecular function,disco-interacting protein 2 isoform X1sK24909 DIP2C; disco-interacting protein 2 homolog C
KWMTBOMO00131,LOC101744871,_,101744871,PREDICTED:_disco-interacting_protein_2_[Bombyx_mori],GO:0003824|catalytic activity|molecular function,disco-interacting protein 2 isoform X1sK24909 DIP2C; disco-interacting protein 2 homolog C
KWMTBOMO00132,LOC105842495,_,NA,NA,-,NA
